Line list produced by Pgopher 10.0.505 13 Feb 2017 17:57  64 bit (fpc 3.1.1 x86_64-Linux),10000505
Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
LinearMolecule,Excited,2,e,5,Ground,1,e,2,41431.6105240896,0.0000186227799301915,42010.7971863621,579.186662272476,0.0166900451739377,223360.51215128,0,qR23(1),Excited App(14)  2  2 F2e - Ground v=0  1  2 F3e
LinearMolecule,Excited,1,e,2,Ground,2,e,1,41416.5276934718,0.000684543624893535,41987.8277487093,571.300055237506,0.590728008358397,13161664.2150036,0,pP1(2),Excited B(v=1)  1  0 F1e - Ground v=0  2  1 F1e
LinearMolecule,Excited,1,e,3,Ground,2,e,1,41418.3277029256,2.9755160710181E-7,41989.6277581631,571.300055237506,0.000256772631947934,5721.74633769573,0,rP21(2),Excited A(10)  1  2 F2e - Ground v=0  2  1 F1e
LinearMolecule,Excited,1,e,4,Ground,2,e,1,41424.0431881088,0.0000110216820351313,41995.3432433463,571.300055237506,0.00951117801788785,212028.360779557,0,rP31(2),Excited B(v=1)  1  2 F3e - Ground v=0  2  1 F1e
LinearMolecule,Excited,1,e,5,Ground,2,e,1,41435.6201245365,0.000056451797475307,42006.920179774,571.300055237506,0.0487151682933665,1086895.83277589,0,qP21(2),Excited App(14)  1  1 F2e - Ground v=0  2  1 F1e
LinearMolecule,Excited,1,e,2,Ground,2,e,2,41404.9967832688,0.0000174040718837459,41987.8277487093,582.83096544049,0.0158728306517165,353357.925254328,0,nP13(2),Excited B(v=1)  1  0 F1e - Ground v=0  2  3 F3e
LinearMolecule,Excited,1,e,3,Ground,2,e,2,41406.7967927226,3.28353959887199E-9,41989.6277581631,582.83096544049,2.99464793866862E-6,66.6749755969652,0,pP23(2),Excited A(10)  1  2 F2e - Ground v=0  2  3 F3e
LinearMolecule,Excited,1,e,4,Ground,2,e,2,41412.5122779058,0.000538548312973642,41995.3432433463,582.83096544049,0.491165873520763,10940196.0558324,0,pP3(2),Excited B(v=1)  1  2 F3e - Ground v=0  2  3 F3e
LinearMolecule,Excited,1,e,5,Ground,2,e,2,41424.0892143335,0.0000114184334613673,42006.920179774,582.83096544049,0.0104138193550811,232151.306933054,0,oP23(2),Excited App(14)  1  1 F2e - Ground v=0  2  3 F3e
LinearMolecule,Excited,2,f,3,Ground,2,e,1,41421.2927951303,0.0000271688800322847,41992.5928503679,571.300055237506,0.0234454281760288,313532.492626764,0,rQ21(2),Excited B(v=1)  2  2 F2f - Ground v=0  2  1 F1e
LinearMolecule,Excited,2,f,4,Ground,2,e,1,41434.9650863814,8.8213085515827E-8,42006.2651416189,571.300055237506,0.0000761236222541958,1018.99913517536,0,qQ1(2),Excited App(14)  2  1 F1f - Ground v=0  2  1 F1e
LinearMolecule,Excited,2,f,5,Ground,2,e,1,41444.5518275051,6.45573663464738E-6,42015.8518827426,571.300055237506,0.00557098818247661,74625.6313356155,0,sQ31(2),Excited App(14)  2  3 F3f - Ground v=0  2  1 F1e
LinearMolecule,Excited,2,f,3,Ground,2,e,2,41409.7618849274,0.000219746852667593,41992.5928503679,582.83096544049,0.200413133313816,2677859.67765924,0,pQ23(2),Excited B(v=1)  2  2 F2f - Ground v=0  2  3 F3e
LinearMolecule,Excited,2,f,4,Ground,2,e,2,41423.4341761785,7.13483510662405E-7,42006.2651416189,582.83096544049,0.000650709961047288,8703.20465023616,0,oQ13(2),Excited App(14)  2  1 F1f - Ground v=0  2  3 F3e
