cccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc
c       cond_initial.dat
c       May 2006 Wakelam Valentine
c       input file of the initial conditions
c       Abundances compared to H
c       Colums indicate:
c       number  species  charge  element (H, He, C, O, S, Grain)  Abundance
c       Please respect the format
cccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc
0.              +- H  He C  N  O  Si S  Fe Na Mg Cl P  K  Ar Ti
   1 C          0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0.0000D+00  2.6056D+00 -1.9593D-04  1.0674D-07 -1.6424D-11  8.1871D-16  8.5412D+04  4.1924D+00  2.5542D+00 -3.2154D-04  7.3379D-07 -7.3223D-10  2.6652D-13  8.5443D+04  4.5313D+00  BURCAT
   2 Cg         0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0.0000D+00  1.5983D+00  1.4307D-03 -5.0944D-07  8.6440D-11 -5.3435D-15 -7.4594D+02 -9.3033D+00 -3.0374D-01  4.3604D-03  1.9827D-06 -6.4347D-09  2.9960D-12 -1.0946D+02  1.0830D+00  BURCAT
   3 Cd         0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0.0000D+00 -4.9316D-01  5.6703D-03 -3.1056D-06  6.0525D-10 -1.6115D-14  1.2388D+02  1.4827D+00 -1.9731D+00  1.3483D-02 -1.8605D-05  1.4220D-08 -4.4647D-12  3.4979D+02  8.2162D+00  BURCAT
   4 C_1D       0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0.0000D+00  2.6056D+00 -1.9593D-04  1.0674D-07 -1.6424D-11  8.1871D-16  2.5951D+05  4.1924D+00  2.5542D+00 -3.2154D-04  7.3379D-07 -7.3223D-10  2.6652D-13  2.5954D+05  4.5313D+00  BURCAT
   5 C_1S       0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0.0000D+00  2.6056D+00 -1.9593D-04  1.0674D-07 -1.6424D-11  8.1871D-16  4.3361D+05  4.1924D+00  2.5542D+00 -3.2154D-04  7.3379D-07 -7.3223D-10  2.6652D-13  4.3364D+05  4.5313D+00  BURCAT
   6 H          0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0.0000D+00  2.5000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  2.5474D+04 -4.4668D-01  2.5000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  2.5474D+04 -4.4668D-01  BURCAT
   7 K          0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0.0000D+00  2.1146D+00  8.2702D-04 -5.9852D-07  1.6978D-10 -1.2906D-14  1.0090D+04  7.1215D+00  2.5000D+00 -7.5181D-08  2.7017D-10 -3.9519D-13  2.0036D-16  9.9588D+03  5.0405D+00  BURCAT
   8 N          0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0.0000D+00  2.4159D+00  1.7489D-04 -1.1902D-07  3.0226D-11 -2.0361D-15  5.6134D+04  4.6496D+00  2.5000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  5.6105D+04  4.1939D+00  BURCAT
   9 O          0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0.0000D+00  2.5436D+00 -2.7316D-05 -4.1903D-09  4.9548D-12 -4.7955D-16  2.9226D+04  4.9223D+00  3.1683D+00 -3.2793D-03  6.6431D-06 -6.1281D-09  2.1127D-12  2.9122D+04  2.0519D+00  BURCAT
  10 O_1D       0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0.0000D+00  2.4937D+00  1.3762D-05 -1.0040D-08  2.7601D-12 -2.0160D-16  5.1999D+04  4.6505D+00  2.4999D+00  1.7194D-07 -3.4522D-10  3.7134D-13 -1.7096D-16  5.1997D+04  4.6168D+00  BURCAT
